['Абазівка', 'Полтавська']
['Берегомет', 'Чернівецька']
['Бережани', 'Вінницька']
['Бережани', 'Тернопільська']
['Березанка', 'Миколаївська']
['Березань', 'Київська']
['Берездів', 'Хмельницька']
['Березівка', 'Одеська']
['Березна', 'Чернігівська']
['Березнегувате', 'Миколаївська']
['Березне', 'Рівненська']
['Березова Лука', 'Полтавська']
['Березова Рудка', 'Полтавська']
['Березівка', 'Одеська']
['Березове', 'Дніпропетровська']
['Березове', 'Рівненська']
['Березівське', 'Харківська']
['Берестечко', 'Волинська']
['Берестовенька', 'Харківська']
['Берислав', 'Херсонська']
['Бершадь', 'Вінницька']
['Бехтери', 'Херсонська']
['Бібрка', 'Львівська']
['Білогородка', 'Хмельницька']
['Більмак (Куйбишево)', 'Запорізька']
['Більче-Золоте', 'Тернопільська']
['Бірки', 'Харківська']
['Благовіщенка', 'Запорізька']
['Благовіщенське', 'Кіровоградська']
['Благодатне', 'Волинська']
['Благодатне', 'Миколаївська']
['Благодатне', 'Херсонська']
['Благодатне (Чапаєвка)', 'Черкаська']
['Близнюки', 'Харківська']
['Бобрик Перший', 'Одеська']
['Бобринець', 'Кіровоградська']
['Бобрка', 'Львівська']
['Бобровиця', 'Чернігівська']
['Богдан', 'Закарпатська']
['Богданівка', 'Дніпропетровська']
['Богданівка', 'Київська']
['Богданівка', 'Кіровоградська']
['Богодухів', 'Харківська']
['Богодухівка', 'Черкаська']
['Боголюби', 'Волинська']
['Богородчани', 'Івано-Франківська']
['Богуслав', 'Київська']
['Бойове', 'Донецька']
['Божедарівка (Щорськ)', 'Дніпропетровська']
['Болград', 'Одеська']
['Болехів', 'Івано-Франківська']
['Більші Бірки', 'Тернопільська']
['Більша Білозерка', 'Запорізька']
['Більша Березовиця', 'Тернопільська']
['Бондарівка', 'Житомирська']
['Бондарівка', 'Луганська']
['Бондарі', 'Житомирська']
['Боратин', 'Волинська']
['Боржавське', 'Закарпатська']
['Борзна', 'Чернігівська']
['Борислав', 'Львівська']
['Борисов', 'Хмельницька']
['Бориспіль', 'Київська']
['Борки', 'Волинська']
['Борова', 'Київська']
['Борова', 'Харківська']
['Боровиця', 'Черкаська']
['Борівське', 'Луганська']
['Бородянка', 'Київська']
['Боромля', 'Сумська']
['Боронява', 'Закарпатська']
['Борсуки', 'Тернопільська']
['Борщів', 'Тернопільська']
['Ботієве', 'Запорізька']
['Бочечки', 'Сумська']
['Бояни', 'Чернівецька']
['Боярка', 'Київська']
['Братське', 'Миколаївська']
['Брацлав', 'Вінницька']
['Бреусівка', 'Полтавська']
['Бригадівка', 'Полтавська']
['Брилівка', 'Херсонська']
['Броварки', 'Полтавська']
['Бровари', 'Київська']
['Брід', 'Закарпатська']
['Броди', 'Львівська']
['Броницька Гута', 'Житомирська']
['Брошнів-Осада', 'Івано-Франківська']
['Брусилів', 'Житомирська']
['Брюховичі', 'Львівська']
['Бугаєвка', 'Харківська']
['Бугрин', 'Рівненська']
['Бугське', 'Миколаївська']
['Буданів', 'Тернопільська']
['Будей', 'Одеська']
['Буди', 'Харківська']
['Бужанка', 'Черкаська']
['Бузаки', 'Волинська']
['Бузова', 'Київська']
['Бузовка', 'Черкаська']
['Буки', 'Черкаська']
['Букове', 'Закарпатська']
['Булахівка', 'Дніпропетровська']
['Бурлача Балка', 'Одеська']
['Бурштин', 'Івано-Франківська']
['Буринь', 'Сумська']
['Буськ', 'Львівська']
['Буцинь (Буцин)', 'Волинська']
['Буча', 'Київська']
['Бучач', 'Тернопільська']
['Бучмани', 'Житомирська']
['Буштино', 'Закарпатська']
['Биківка', 'Житомирська']
['Билбасівка', 'Донецька']
['Бирлівка', 'Вінницька']
['Бишев', 'Київська']
['Вакуленчук', 'Житомирська']
['Вакулово (Жовтневе)', 'Дніпропетровська']
['Валки', 'Харківська']
['Валява', 'Черкаська']
['Вапнярка', 'Вінницька']
['Вапнярка', 'Одеська']
['Вараш', 'Рівненська']
['Варва', 'Чернігівська']
['Варварівка', 'Дніпропетровська']
['Варварівка', 'Полтавська']
['Варковичі', 'Рівненська']
['Васильєвка', 'Запорізька']
['Васильєвка', 'Одеська']
['Васильєвка', 'Сумська']
['Васильків', 'Київська']
['Васильків', 'Черкаська']
['Васильківка', 'Дніпропетровська']
['Васичево', 'Харківська']
['Васьковичі', 'Житомирська']
['Ватутіне', 'Черкаська']
['Вашковці', 'Чернівецька']
['Введенка', 'Харківська']
['Велика Олександрівка', 'Київська']
['Велика Олександрівка', 'Херсонська']
['Велика Андрусівка', 'Кіровоградська']
['Велика Багачка', 'Полтавська']
['Велика Буромка', 'Черкаська']
['Велика Буйгань', 'Закарпатська']
['Велика Виска', 'Кіровоградська']
['Велика Глуша', 'Волинська']
['Велика Добронь', 'Закарпатська']
['Велика Димерка', 'Київська']
['Велика Знаменка', 'Запорізька']
['Велика Кам\'янка', 'Івано-Франківська']
['Велика Копаня', 'Закарпатська']
['Велика Костромка', 'Дніпропетровська']
['Велика Лепетиха', 'Херсонська']
['Велика Михайлівка', 'Одеська']
['Велика Новосілка', 'Донецька']
['Велика Павлівка', 'Полтавська']
['Велика Писарівка', 'Сумська']
['Велика Рублівка', 'Полтавська']
['Велика Севастяновка', 'Черкаська']
['Велика Слобідка', 'Хмельницька']
['Велика Снетинка', 'Київська']
['Велика Цвіля', 'Житомирська']
['Велика Чернігівка', 'Луганська']
['Велика Яромирка', 'Хмельницька']
['Великі Береги', 'Закарпатська']
['Великі Бірки', 'Тернопільська']
['Великі Будища', 'Полтавська']
['Великі Гаї', 'Тернопільська']
['Великі Глебовичі', 'Львівська']
['Великі Дедеркали', 'Тернопільська']
['Великі Ком\'яти', 'Закарпатська']
['Великі Копани', 'Херсонська']
['Великі Коровинці', 'Житомирська']
['Великі Кринки', 'Полтавська']
['Великі Лази', 'Закарпатська']
['Великі Лучки', 'Закарпатська']
['Великі Межирічі', 'Рівненська']
['Великі Мости', 'Львівська']
['Великі Сорочинці', 'Полтавська']
['Великі Цепцевичі', 'Рівненська']
['Великий Березний', 'Закарпатська']
['Великий Бобрик', 'Сумська']
['Великий Бурлук', 'Харківська']
['Великий Бичков', 'Закарпатська']
['Великий Дальник', 'Одеська']
['Великий Жванчик', 'Хмельницька']
['Великий Любень', 'Львівська']
['Великий Омеляник', 'Волинська']
['Великий Раковець', 'Закарпатська']
['Великий Хутір', 'Черкаська']
['Великодолинське', 'Одеська']
['Великодубове', 'Рівненська']
['Великомихайлівка', 'Дніпропетровська']
['Великоплоске', 'Одеська']
['Великополовецьке', 'Київська']
['Великоселки', 'Львівська']
['Велимче', 'Волинська']
['Велятин', 'Закарпатська']
['Вендичани', 'Вінницька']
['Веприк', 'Полтавська']
['Верба', 'Рівненська']
['Вербки', 'Дніпропетровська']
['Верблюжка', 'Кіровоградська']
['Вербовець', 'Закарпатська']
['Вергуни', 'Черкаська']
['Вереміївка', 'Черкаська']
['Веренчанка', 'Чернівецька']
['Вертіївка', 'Чернігівська']
['Верхньодніпровськ', 'Дніпропетровська']
['Верхнє Водяне', 'Закарпатська']
['Верхнє Синевидне', 'Львівська']
['Верхні Ворота', 'Закарпатська']
['Верхні Петровці', 'Чернівецька']
['Верхній Рогачик', 'Херсонська']
['Верхнячка', 'Черкаська']
['Верхня', 'Івано-Франківська']
['Верховина', 'Івано-Франківська']
['Верховцеве', 'Дніпропетровська']
['Веселиново', 'Миколаївська']
['Веселе', 'Дніпропетровська']
['Веселе', 'Запорізька']
['Веселе', 'Луганська']
['Веселе', 'Харківська']
['Веселий Поділ', 'Полтавська']
['Весняне', 'Рівненська']
['Ветли', 'Волинська']
['Вижниця', 'Чернівецька']
['Війтівка (Війтівка) (Війтівка)', 'Вінницька']
['Вілкове', 'Одеська']
['Вільча', 'Харківська']
['Вінники', 'Львівська']
['Вінниця', 'Вінницька']
['Виноград', 'Черкаська']
['Виноградів', 'Закарпатська']
['Виноградове', 'Херсонська']
['Виньковці', 'Хмельницька']
['Висунськ', 'Миколаївська']
['Вишеньки', 'Київська']
['Вишнівець', 'Тернопільська']
['Вишневе', 'Київська']
['Вишневе (Куйбишеве)', 'Полтавська']
['Володимир-Волинський', 'Волинська']
['Володимирець', 'Рівненська']
['Володимирівка', 'Донецька']
['Володимирівка', 'Миколаївська']
['Володимирівське', 'Запорізька']
['Власівка', 'Кіровоградська']
['Водяне', 'Запорізька']
['Водянське', 'Донецька']
['Воєводське', 'Миколаївська']
['Вознесенськ', 'Миколаївська']
['Військове', 'Дніпропетровська']
['Війтівці', 'Хмельницька']
['Волиця', 'Житомирська']
['Волиця-Польова', 'Хмельницька']
['Вовковинці', 'Хмельницька']
['Волноваха', 'Донецька']
['Воловець', 'Закарпатська']
['Володарка', 'Київська']
['Володарськ-Волинський', 'Житомирська']
['Волоське', 'Дніпропетровська']
['Волосянка', 'Закарпатська']
['Волохів Яр', 'Харківська']
['Волочийськ', 'Хмельницька']
['Вовчанськ', 'Харківська']
['Вовчинець', 'Івано-Франківська']
['Вовчківці', 'Івано-Франківська']
['Вільногірськ', 'Дніпропетровська']
['Вільне', 'Дніпропетровська']
['Вільне Запоріжжя', 'Миколаївська']
['Вільнянськ', 'Запорізька']
['Вонігово (Вонігове)', 'Закарпатська']
['Ворзель', 'Київська']
['Ворожба', 'Сумська']
['Ворона', 'Івано-Франківська']
['Воронеж', 'Сумська']
['Воронків', 'Київська']
['Воронківці', 'Хмельницька']
['Вороновиця', 'Вінницька']
['Вороне', 'Черкаська']
['Врадіївка', 'Миколаївська']
['Виблі', 'Чернігівська']
['Вигода', 'Івано-Франківська']
['Вигода', 'Одеська']
['Вилок', 'Закарпатська']
['Випасне', 'Одеська']
['Вирішальне', 'Полтавська']
['Висока Піч', 'Житомирська']
['Високий', 'Харківська']
['Високе', 'Тернопільська']
['Високе (Володимирівка)', 'Дніпропетровська']
['Висоцьк', 'Рівненська']
['Вищеольчедаїв', 'Вінницька']
['Вищетарасівка', 'Дніпропетровська']
['Вишгород', 'Київська']
['Вишково', 'Закарпатська']
['В\'язівок', 'Черкаська']
['Гаврилівка', 'Дніпропетровська']
['Гаврилівка', 'Київська']
['Гадяч', 'Полтавська']
['Гаївка', 'Волинська']
['Гайворон', 'Кіровоградська']
['Гайсин', 'Вінницька']
['Галич', 'Івано-Франківська']
['Ганичі', 'Закарпатська']
['Гатне', 'Київська']
['Гать', 'Закарпатська']
['Гвардійське', 'Дніпропетровська']
['Гвардійське', 'Одеська']
['Гвардійське', 'Хмельницька']
['Гельмязів', 'Черкаська']
['Геніївка', 'Харківська']
['Генічеськ', 'Херсонська']
['Генічеська Гірка', 'Херсонська']
['Гермаківка', 'Тернопільська']
['Геронимівка', 'Черкаська']
['Герца', 'Чернівецька']
['Гірсівка', 'Запорізька']
['Гиряві Ісківці', 'Полтавська']
['Гладківка', 'Херсонська']
['Глеваха', 'Київська']
['Глинниця', 'Чернівецька']
['Глинне', 'Рівненська']
['Глинськ', 'Вінницька']
['Глинськ', 'Кіровоградська']
['Глиняни', 'Львівська']
['Глобине', 'Полтавська']
['Глодоси', 'Кіровоградська']
['Глибоке', 'Київська']
['Глухів', 'Сумська']
['Глибока', 'Чернівецька']
['Гнатівці', 'Хмельницька']
['Гнідин', 'Київська']
['Гніздичів', 'Львівська']
['Гнівань', 'Вінницька']
['Гоголів', 'Київська']
['Гоголеве', 'Полтавська']
['Гойче', 'Львівська']
['Гола Пристань', 'Херсонська']
['Голиця', 'Одеська']
['Голоби', 'Волинська']
['Голованівськ', 'Кіровоградська']
['Головне', 'Волинська']
['Головурів', 'Київська']
['Голубівка', 'Дніпропетровська']
['Гончарівське', 'Чернігівська']
['Гора', 'Київська']
['Гореничі', 'Київська']
['Горенка', 'Київська']
['Горінчово', 'Закарпатська']
['Горішні Плавні', 'Полтавська']
['Гірники', 'Волинська']
['Горностаївка', 'Херсонська']
['Гірник', 'Донецька']
['Гірник', 'Львівська']
['Городенка', 'Івано-Франківська']
['Городище', 'Хмельницька']
['Городище', 'Черкаська']
['Городківка', 'Житомирська']
['Городнєє', 'Одеська']
['Городниця', 'Житомирська']
['Городня', 'Чернігівська']
['Городок', 'Львівська']
['Городок', 'Хмельницька']
['Горохів', 'Волинська']
['Горошино', 'Полтавська']
['Гірське', 'Луганська']
['Гірське', 'Львівська']
['Горщик', 'Житомирська']
['Гірка Полонка', 'Волинська']
['Горинка', 'Тернопільська']
['Гостомель', 'Київська']
['Гоща', 'Рівненська']
['Градизьк', 'Полтавська']
['Гранітне', 'Житомирська']
['Гребінка', 'Полтавська']
['Гребінки', 'Київська']
['Грибівка', 'Одеська']
['Григорівка', 'Київська']
['Григорівка', 'Херсонська']
['Григорівка', 'Хмельницька']
['Гримайлів', 'Тернопільська']
['Гриців', 'Хмельницька']
['Грозино', 'Житомирська']
['Громада', 'Житомирська']
['Громівка', 'Херсонська']
['Грузевиця', 'Хмельницька']
['Грунь', 'Сумська']
['Грушівка', 'Миколаївська']
['Грушівка (Ленінське)', 'Дніпропетровська']
['Грушеве', 'Закарпатська']
['Губиниха', 'Дніпропетровська']
['Гуляйполе', 'Дніпропетровська']
['Гуляйполе', 'Запорізька']
['Гупалівка', 'Дніпропетровська']
['Гурівщина', 'Київська']
['Гур\'ївка', 'Миколаївська']
['Гусарка', 'Запорізька']
['Гусятин', 'Тернопільська']
['Гути', 'Харківська']
['Гуштин', 'Тернопільська']
['Гуща', 'Волинська']
['Гущинці', 'Вінницька']
['Давидківці', 'Хмельницька']
['Давидів', 'Львівська']
['Данилівка', 'Київська']
['Данилівка', 'Луганська']
['Данилове', 'Закарпатська']
['Дар\'ївка', 'Херсонська']
['Дачне', 'Одеська']
['Дашава', 'Львівська']
['Дашів', 'Вінницька']
['Дашківка', 'Полтавська']
['Дворічна', 'Харківська']
['Дворічний Кут', 'Харківська']
['Ділове', 'Закарпатська']
['Дельжилер', 'Одеська']
['Делятин', 'Івано-Франківська']
['Демидів', 'Київська']
['Демидівка', 'Рівненська']
['Демки', 'Черкаська']
['Демурине', 'Дніпропетровська']
['Денисівка', 'Полтавська']
['Денихівка', 'Київська']
['Деражне', 'Рівненська']
['Деражня', 'Хмельницька']
['Дергачі', 'Харківська']
['Дерцен', 'Закарпатська']
['Десантне', 'Одеська']
['Десна', 'Чернігівська']
['Джулинка', 'Вінницька']
['Джурин', 'Вінницька']
['Дзвиняч', 'Івано-Франківська']
['Дзигівка', 'Вінницька']
['Дібрівськ', 'Рівненська']
['Дивізія', 'Одеська']
['Дивне', 'Херсонська']
['Диканька', 'Полтавська']
['Димитров', 'Донецька']
['Динівці', 'Чернівецька']
['Дмитрівка', 'Дніпропетровська']
['Дмитрівка', 'Київська']
['Дмитрівка', 'Кіровоградська']
['Дмитрівка', 'Одеська']
['Дмитрівка', 'Полтавська']
['Дмухайлівка', 'Дніпропетровська']
['Дніпро', 'Дніпропетровська']
['Дніпрорудне', 'Запорізька']
['Добровеличківка', 'Кіровоградська']
['Доброгостів', 'Львівська']
['Добромиль', 'Львівська']
['Добропілля', 'Донецька']
['Добросин', 'Львівська']
['Доброслав', 'Одеська']
['Добротвір', 'Львівська']
['Добротів', 'Івано-Франківська']
['Добрянка', 'Кіровоградська']
['Добрянка', 'Чернігівська']
['Добрянське', 'Закарпатська']
['Добряни', 'Львівська']
['Довбиш', 'Житомирська']
['Довжок', 'Хмельницька']
['Докучаєвське (Комуніст)', 'Харківська']
['Довгеньке', 'Харківська']
['Довге', 'Закарпатська']
['Долина', 'Івано-Франківська']
['Долинська', 'Кіровоградська']
['Доманівка', 'Миколаївська']
['Домантове', 'Черкаська']
['Донець', 'Харківська']
['Донцівка', 'Луганська']
['Дорогичівка', 'Тернопільська']
['Доросині', 'Волинська']
['Дослідницьке', 'Київська']
['Драбинівка', 'Полтавська']
['Драбів', 'Черкаська']
['Драбове-Барятинське', 'Черкаська']
['Драгове', 'Закарпатська']
['Драчинці', 'Чернівецька']
['Дрогобич', 'Львівська']
['Дружба', 'Житомирська']
['Дружба', 'Сумська']
['Дружба', 'Тернопільська']
['Дружківка', 'Донецька']
['Дружна', 'Київська']
['Дубечно', 'Волинська']
['Дубище', 'Волинська']
['Дубляни', 'Львівська']
['Дубно', 'Рівненська']
['Дубове', 'Закарпатська']
['Дубівці', 'Чернівецька']
['Дубов\'язівка', 'Сумська']
['Дубровиця', 'Рівненська']
['Дубрівка', 'Житомирська']
['Дударків', 'Київська']
['Дудчани', 'Херсонська']
['Дулово', 'Закарпатська']
['Дунаїв', 'Львівська']
['Дунаїв', 'Тернопільська']
['Дунаївці', 'Хмельницька']
['Димер', 'Київська']
['Дюла', 'Закарпатська']
['Дядьковичі', 'Рівненська']
['Євсуг', 'Луганська']
['Єзупіль', 'Івано-Франківська']
['Єланець', 'Миколаївська']
['Єлизаветградка', 'Кіровоградська']
['Єлизаветівка', 'Донецька']
['Єлисеївка', 'Запорізька']
['Ємільчине', 'Житомирська']
['Єрки', 'Черкаська']
['Жаботин', 'Черкаська']
['Жашків', 'Черкаська']
['Жванець', 'Хмельницька']
['Ждани', 'Полтавська']
['Жежелів', 'Вінницька']
['Залізний Порт', 'Херсонська']
['Жовті Води', 'Дніпропетровська']
['Женішківці', 'Хмельницька']
['Жердя', 'Хмельницька']
['Жеребкове', 'Одеська']
['Жидачів', 'Львівська']
['Житомир', 'Житомирська']
['Жмеринка', 'Вінницька']
['Жобрин', 'Рівненська']
['Жовква', 'Львівська']
['Жовтанці', 'Львівська']
['Жукін', 'Київська']
['Журавка', 'Чернігівська']
['Журавлівка', 'Вінницька']
['Журавно', 'Львівська']
['Заболотів', 'Івано-Франківська']
['Заболоття', 'Волинська']
['Завадівка', 'Львівська']
['Завалля', 'Кіровоградська']
['Заводське', 'Полтавська']
['Заводське', 'Тернопільська']
['Загнітків', 'Одеська']
['Задарів', 'Тернопільська']
['Задубрівці', 'Івано-Франківська']
['Зазим\'я', 'Київська']
['Зайцеве', 'Дніпропетровська']
['Зайцеве', 'Донецька']
['Закотне', 'Луганська']
['Закупне', 'Хмельницька']
['Залаззя', 'Волинська']
['Залісці', 'Тернопільська']
['Заліщики', 'Тернопільська']
['Залізничне (Брагинівка)', 'Дніпропетровська']
['Залізці', 'Тернопільська']
['Залужжя', 'Рівненська']
['Запоріжжя', 'Запорізька']
['Запитів', 'Львівська']
['Зарічани', 'Житомирська']
['Зарічне', 'Рівненська']
['Зарічне (Кіровськ)', 'Донецька']
['Заріччя', 'Закарпатська']
['Зоря', 'Одеська']
['Зоря', 'Рівненська']
['Заслучне', 'Хмельницька']
['Заставна', 'Чернівецька']
['Затишшя', 'Одеська']
['Затока', 'Одеська']
['Захарівка', 'Одеська']
['Зачепилівка', 'Харківська']
['Заячківка', 'Черкаська']
['Збараж', 'Тернопільська']
['Зборів', 'Тернопільська']
['Звенигород', 'Львівська']
['Звенигородка', 'Черкаська']
['Згорани', 'Волинська']
['Згурівка', 'Київська']
['Здолбиця', 'Рівненська']
['Здолбунів', 'Рівненська']
['Зеленівка', 'Херсонська']
['Зеленогірське', 'Одеська']
['Зеленодольськ', 'Дніпропетровська']
['Зелений Під (Червоний Перекоп)', 'Херсонська']
['Зіньків', 'Полтавська']
['Зимна Вода', 'Львівська']
['Зіньків', 'Хмельницька']
['Златоустівка', 'Донецька']
['Злинка', 'Кіровоградська']
['Зміїв', 'Харківська']
['Знам\'янка', 'Кіровоградська']
['Знам\'янка', 'Одеська']
['Знам\'янка Друга (Знам\'янка-Втор', 'Кіровоградська']
['Знаменівка', 'Дніпропетровська']
['Знобь-Новгородське', 'Сумська']
['Золотарьово', 'Закарпатська']
['Золота Балка', 'Херсонська']
['Золотники', 'Тернопільська']
['Золоте', 'Луганська']
['Золотий Потік', 'Тернопільська']
['Золотоноша', 'Черкаська']
['Золочів', 'Львівська']
['Золочів', 'Харківська']
['Зубрець', 'Тернопільська']
['Зибкове', 'Кіровоградська']
['Іваничі', 'Волинська']
['Іванків', 'Київська']
['Іванковичі', 'Київська']
['Іванківці', 'Хмельницька']
['Іванів', 'Вінницька']
['Іванівка', 'Дніпропетровська']
['Іванівка', 'Київська']
['Іванівка', 'Кіровоградська']
['Іванівка', 'Одеська']
['Іванівка', 'Херсонська']
['Іванополь', 'Житомирська']
['Івано-Франкове', 'Львівська']
['Івано-Франківськ', 'Івано-Франківська']
['Іваньки', 'Черкаська']
['Івахни', 'Черкаська']
['Ігнатпіль', 'Житомирська']
['Їжівці', 'Чернівецька']
['Іза', 'Закарпатська']
['Ізки', 'Закарпатська']
['Ізмаїл', 'Одеська']
['Ізюм', 'Харківська']
['Ізяслав', 'Хмельницька']
['Іларіонове', 'Дніпропетровська']
['Іллінці', 'Вінницька']
['Іллічівськ (Чорноморськ)', 'Одеська']
['Ільниця', 'Закарпатська']
['Імстичеве', 'Закарпатська']
['Іркліїв', 'Черкаська']
['Ірпінь', 'Київська']
['Іршава', 'Закарпатська']
['Іршанськ', 'Житомирська']
['Ісківці', 'Полтавська']
['Іспас', 'Чернівецька']
['Ічня', 'Чернігівська']
['Кагарлик', 'Київська']
['Казанка', 'Миколаївська']
['Козятин', 'Вінницька']
['Козацьке', 'Черкаська']
['Козачі Табори', 'Херсонська']
['Козача Лопань', 'Харківська']
['Каїри', 'Херсонська']
['Каланчак', 'Херсонська']
['Калинівка', 'Вінницька']
['Калинівка', 'Київська']
['Калинівське (Калінінське)', 'Херсонська']
['Калини', 'Закарпатська']
['Калита', 'Київська']
['Калуш', 'Івано-Франківська']
['Калчева', 'Одеська']
['Кальник', 'Вінницька']
['Кам\'янець-Подільський', 'Хмельницька']
['Кам\'янка', 'Миколаївська']
['Кам\'янка', 'Одеська']
['Кам\'янка', 'Черкаська']
['Кам\'янка-Бузька', 'Львівська']
['Кам\'янка-Дніпровська', 'Запорізька']
['Кам\'яний Брід', 'Житомирська']
['Кам\'янське', 'Дніпропетровська']
['Кам\'янське', 'Дніпропетровська']
['Кам\'янське', 'Закарпатська']
['Камінь-Каширський', 'Волинська']
['Комишани', 'Херсонська']
['Комишувате', 'Кіровоградська']
['Комишуваха', 'Запорізька']
['Комишуваха', 'Луганська']
['Комиш-Зоря', 'Запорізька']
['Комиші', 'Сумська']
['Комишня', 'Полтавська']
['Очеретянка', 'Одеська']
['Канів', 'Черкаська']
['Капітанівка', 'Київська']
['Капітанівка', 'Кіровоградська']
['Карапчів', 'Чернівецька']
['Карапиші', 'Київська']
['Карлівка', 'Полтавська']
['Карнаухівка', 'Дніпропетровська']
['Кароліно-Бугаз', 'Одеська']
['Карпилівка', 'Рівненська']
['Карпівці', 'Житомирська']
['Катеринка', 'Миколаївська']
['Катеринівка', 'Харківська']
['Катеринопіль', 'Черкаська']
['Катюжанка', 'Київська']
['Качкарівка', 'Херсонська']
['Каховка', 'Херсонська']
['Кашперівка', 'Київська']
['Квасилів', 'Рівненська']
['Кваси', 'Закарпатська']
['Кегичівка', 'Харківська']
['Кельменці', 'Чернівецька']
['Керецьки', 'Закарпатська']
['Кетрисанівка', 'Кіровоградська']
['Кибинці', 'Полтавська']
['Ківерці', 'Волинська']
['Кідри', 'Рівненська']
['Київ', 'Київ і район']
['Кієнка', 'Чернігівська']
['Кілія', 'Одеська']
['Кириківка', 'Сумська']
['Кирилівка', 'Запорізька']
['Кирнасівка', 'Вінницька']
['Кирнички', 'Одеська']
['Кірове', 'Донецька']
['Кір\'яківка', 'Миколаївська']
['Кисельов', 'Чернівецька']
['Киселівка', 'Миколаївська']
['Киселівка', 'Херсонська']
['Кислиця', 'Одеська']
['Китайгород', 'Хмельницька']
['Кіцмань', 'Чернівецька']
['Клавдієво-Тарасове', 'Київська']
['Клебань', 'Вінницька']
['Клевань', 'Рівненська']
['Клепачі', 'Полтавська']
['Клесів', 'Рівненська']
['Клішківці', 'Чернівецька']
['Клинове', 'Хмельницька']
['Клубівка', 'Хмельницька']
['Клячанове', 'Закарпатська']
['Княжичі', 'Київська']
['Княжпіль', 'Хмельницька']
['Князівське', 'Івано-Франківська']
['Кобеляки', 'Полтавська']
['Коблево', 'Миколаївська']
['Коболчин', 'Чернівецька']
['Ковалівка', 'Київська']
['Ковалівка', 'Миколаївська']
['Ковалівка', 'Полтавська']
['Ковель', 'Волинська']
['Ківшарівка', 'Харківська']
['Ковшувата (Ківшувата)', 'Київська']
['Ков\'яги', 'Харківська']
['Кодаки', 'Київська']
['Кодима', 'Одеська']
