['Абазовка', 'Полтавская']
['Васильков', 'Киевская']
['Васильков', 'Черкасская']
['Васильковка', 'Днепропетровская']
['Васищево', 'Харьковская']
['Васьковичи', 'Житомирская']
['Ватутино', 'Черкасская']
['Вашковцы', 'Черновицкая']
['Введенка', 'Харьковская']
['Великая Александровка', 'Киевская']
['Великая Александровка', 'Херсонская']
['Великая Андрусовка', 'Кировоградская']
['Великая Багачка', 'Полтавская']
['Великая Буромка', 'Черкасская']
['Великая Быйгань', 'Закарпатская']
['Великая Виска', 'Кировоградская']
['Великая Глуша', 'Волынская']
['Великая Добронь', 'Закарпатская']
['Великая Дымерка', 'Киевская']
['Великая Знаменка', 'Запорожская']
['Великая Каменка', 'Ивано-Франковская']
['Великая Копаня', 'Закарпатская']
['Великая Костромка', 'Днепропетровская']
['Великая Лепетиха', 'Херсонская']
['Великая Михайловка', 'Одесская']
['Великая Новоселка', 'Донецкая']
['Великая Павловка', 'Полтавская']
['Великая Писаревка', 'Сумская']
['Великая Рублевка', 'Полтавская']
['Великая Севастьяновка', 'Черкасская']
['Великая Слободка', 'Хмельницкая']
['Великая Снетинка', 'Киевская']
['Великая Цвиля', 'Житомирская']
['Великая Черниговка', 'Луганская']
['Великая Яромирка', 'Хмельницкая']
['Великие Берега', 'Закарпатская']
['Великие Борки', 'Тернопольская']
['Великие Будища', 'Полтавская']
['Великие Гаи', 'Тернопольская']
['Великие Глебовичи', 'Львовская']
['Великие Дедеркалы', 'Тернопольская']
['Великие Комяты', 'Закарпатская']
['Великие Копани', 'Херсонская']
['Великие Коровинцы', 'Житомирская']
['Великие Крынки', 'Полтавская']
['Великие Лазы', 'Закарпатская']
['Великие Лучки', 'Закарпатская']
['Великие Межиричи', 'Ровенская']
['Великие Мосты', 'Львовская']
['Великие Сорочинцы', 'Полтавская']
['Великие Цепцевичи', 'Ровенская']
['Великий Березный', 'Закарпатская']
['Великий Бобрик', 'Сумская']
['Великий Бурлук', 'Харьковская']
['Великий Бычков', 'Закарпатская']
['Великий Дальник', 'Одесская']
['Великий Жванчик', 'Хмельницкая']
['Великий Любень', 'Львовская']
['Великий Омеляник', 'Волынская']
['Великий Раковец', 'Закарпатская']
['Великий Хутор', 'Черкасская']
['Великодолинское', 'Одесская']
['Великое Вербчее', 'Ровенская']
['Великомихайловка', 'Днепропетровская']
['Великоплоское', 'Одесская']
['Великополовецкое', 'Киевская']
['Великоселки', 'Львовская']
['Велимче', 'Волынская']
['Велятин', 'Закарпатская']
['Вендичаны', 'Винницкая']
['Веприк', 'Полтавская']
['Верба', 'Ровенская']
['Вербки', 'Днепропетровская']
['Верблюжка', 'Кировоградская']
['Вербовец', 'Закарпатская']
['Вергуны', 'Черкасская']
['Веремиевка', 'Черкасская']
['Веренчанка', 'Черновицкая']
['Вертиевка', 'Черниговская']
['Верхнеднепровск', 'Днепропетровская']
['Верхнее Водяное', 'Закарпатская']
['Верхнее Синевидное', 'Львовская']
['Верхние Ворота', 'Закарпатская']
['Верхние Петровцы', 'Черновицкая']
['Верхний Рогачик', 'Херсонская']
['Верхнячка', 'Черкасская']
['Верхняя', 'Ивано-Франковская']
['Верховина', 'Ивано-Франковская']
['Верховцево', 'Днепропетровская']
['Веселиново', 'Николаевская']
['Веселое', 'Днепропетровская']
['Веселое', 'Запорожская']
['Веселое', 'Луганская']
['Веселое', 'Харьковская']
['Веселый Подол', 'Полтавская']
['Весняное', 'Ровенская']
['Ветлы', 'Волынская']
['Вижница', 'Черновицкая']
['Вийтовка (Вийтивка) (Вийтивка)', 'Винницкая']
['Вилково', 'Одесская']
['Вильча', 'Харьковская']
['Винники', 'Львовская']
['Винница', 'Винницкая']
['Виноград', 'Черкасская']
['Виноградов', 'Закарпатская']
['Виноградово', 'Херсонская']
['Виньковцы', 'Хмельницкая']
['Висунск', 'Николаевская']
['Вита-Почтовая', 'Киевская']
['Вишенки', 'Киевская']
['Вишневец', 'Тернопольская']
['Вишневое', 'Киевская']
['Вишневое (Куйбышево)', 'Полтавская']
['Владимир-Волынский', 'Волынская']
['Владимирец', 'Ровенская']
['Владимировка', 'Донецкая']
['Владимировка', 'Николаевская']
['Владимировское', 'Запорожская']
['Власовка', 'Кировоградская']
['Водяное', 'Запорожская']
['Водянское', 'Донецкая']
['Воеводское', 'Николаевская']
['Вознесенск', 'Николаевская']
['Войсковое', 'Днепропетровская']
['Войтовцы', 'Хмельницкая']
['Волица', 'Житомирская']
['Волица-Полевая', 'Хмельницкая']
['Волковинцы', 'Хмельницкая']
['Волноваха', 'Донецкая']
['Воловец', 'Закарпатская']
['Володарка', 'Киевская']
['Володарск-Волынский', 'Житомирская']
['Волосское', 'Днепропетровская']
['Волосянка', 'Закарпатская']
['Волохов Яр', 'Харьковская']
['Волочийск', 'Хмельницкая']
['Волчанск', 'Харьковская']
['Волчинец', 'Ивано-Франковская']
['Волчковцы', 'Ивано-Франковская']
['Вольногорск', 'Днепропетровская']
['Вольное', 'Днепропетровская']
['Вольное Запорожье', 'Николаевская']
['Вольнянск', 'Запорожская']
['Вонигово (Вониговое)', 'Закарпатская']
['Ворзель', 'Киевская']
['Ворожба', 'Сумская']
['Ворона', 'Ивано-Франковская']
['Воронеж', 'Сумская']
['Воронков', 'Киевская']
['Воронковцы', 'Хмельницкая']
['Вороновица', 'Винницкая']
['Вороное', 'Черкасская']
['Врадиевка', 'Николаевская']
['Выбли', 'Черниговская']
['Выгода', 'Ивано-Франковская']
['Выгода', 'Одесская']
['Вылок', 'Закарпатская']
['Выпасное', 'Одесская']
['Выришальное', 'Полтавская']
['Высокая Печь', 'Житомирская']
['Высокий', 'Харьковская']
['Высокое', 'Тернопольская']
['Высокое (Владимировка)', 'Днепропетровская']
['Высоцк', 'Ровенская']
['Высшеольчедаев', 'Винницкая']
['Высшетарасовка', 'Днепропетровская']
['Вышгород', 'Киевская']
['Вышково', 'Закарпатская']
['Вязовок', 'Черкасская']
['Гавриловка', 'Днепропетровская']
['Гавриловка', 'Киевская']
['Гадяч', 'Полтавская']
['Гаевка', 'Волынская']
['Гайворон', 'Кировоградская']
['Гайсин', 'Винницкая']
['Галич', 'Ивано-Франковская']
['Ганичи', 'Закарпатская']
['Гатное', 'Киевская']
['Гать', 'Закарпатская']
['Гвардейское', 'Днепропетровская']
['Гвардейское', 'Одесская']
['Гвардейское', 'Хмельницкая']
['Гельмязов', 'Черкасская']
['Гениевка', 'Харьковская']
['Геническ', 'Херсонская']
['Геническая Горка', 'Херсонская']
['Гермаковка', 'Тернопольская']
['Геронимовка', 'Черкасская']
['Герца', 'Черновицкая']
['Гирсовка', 'Запорожская']
['Гирявые Исковцы', 'Полтавская']
['Гладковка', 'Херсонская']
['Глеваха', 'Киевская']
['Глинница', 'Черновицкая']
['Глинное', 'Ровенская']
['Глинск', 'Винницкая']
['Глинск', 'Кировоградская']
['Глиняны', 'Львовская']
['Глобино', 'Полтавская']
['Глодосы', 'Кировоградская']
['Глубоке', 'Киевская']
['Глухов', 'Сумская']
['Глыбокая', 'Черновицкая']
['Гнатовцы', 'Хмельницкая']
['Гнедин', 'Киевская']
['Гнездычев', 'Львовская']
['Гнивань', 'Винницкая']
['Гоголев', 'Киевская']
['Гоголево', 'Полтавская']
['Гойчье', 'Львовская']
['Голая Пристань', 'Херсонская']
['Голица', 'Одесская']
['Голобы', 'Волынская']
['Голованевск', 'Кировоградская']
['Головно', 'Волынская']
['Головуров', 'Киевская']
['Голубовка', 'Днепропетровская']
['Гончаровское', 'Черниговская']
['Гора', 'Киевская']
['Гореничи', 'Киевская']
['Горенка', 'Киевская']
['Горинчово', 'Закарпатская']
['Горишние Плавни', 'Полтавская']
['Горники', 'Волынская']
['Горностаевка', 'Херсонская']
['Горняк', 'Донецкая']
['Горняк', 'Львовская']
['Городенка', 'Ивано-Франковская']
['Городище', 'Хмельницкая']
['Городище', 'Черкасская']
['Городковка', 'Житомирская']
['Городнее', 'Одесская']
['Городница', 'Житомирская']
['Городня', 'Черниговская']
['Городок', 'Львовская']
['Городок', 'Хмельницкая']
['Горохов', 'Волынская']
['Горошино', 'Полтавская']
['Горское', 'Луганская']
['Горское', 'Львовская']
['Горщик', 'Житомирская']
['Горькая Полонка', 'Волынская']
['Горынка', 'Тернопольская']
['Гостомель', 'Киевская']
['Гоща', 'Ровенская']
['Градижск', 'Полтавская']
['Гранитное', 'Житомирская']
['Гребенка', 'Полтавская']
['Гребенки', 'Киевская']
['Грибовка', 'Одесская']
['Григоровка', 'Киевская']
['Григоровка', 'Херсонская']
['Григоровка', 'Хмельницкая']
['Гримайлов', 'Тернопольская']
['Грицев', 'Хмельницкая']
['Грозино', 'Житомирская']
['Громада', 'Житомирская']
['Громовка', 'Херсонская']
['Грузевица', 'Хмельницкая']
['Грунь', 'Сумская']
['Грушевка', 'Николаевская']
['Грушевка (Ленинское)', 'Днепропетровская']
['Грушево', 'Закарпатская']
['Губиниха', 'Днепропетровская']
['Гуляйполе', 'Днепропетровская']
['Гуляйполе', 'Запорожская']
['Гупаловка', 'Днепропетровская']
['Гуровщина', 'Киевская']
['Гурьевка', 'Николаевская']
['Гусарка', 'Запорожская']
['Гусятин', 'Тернопольская']
['Гуты', 'Харьковская']
['Гуштын', 'Тернопольская']
['Гуща', 'Волынская']
['Гущинцы', 'Винницкая']
['Давыдковцы', 'Хмельницкая']
['Давыдов', 'Львовская']
['Даниловка', 'Киевская']
['Даниловка', 'Луганская']
['Данилово', 'Закарпатская']
['Дарьевка', 'Херсонская']
['Дачное', 'Одесская']
['Дашава', 'Львовская']
['Дашев', 'Винницкая']
['Дашковка', 'Полтавская']
['Двуречная', 'Харьковская']
['Двуречный Кут', 'Харьковская']
['Деловое', 'Закарпатская']
['Дельжилер', 'Одесская']
['Делятин', 'Ивано-Франковская']
['Демидов', 'Киевская']
['Демидовка', 'Ровенская']
['Демки', 'Черкасская']
['Демурино', 'Днепропетровская']
['Денисовка', 'Полтавская']
['Дениховка', 'Киевская']
['Деражное', 'Ровенская']
['Деражня', 'Хмельницкая']
['Дергачи', 'Харьковская']
['Дерцен', 'Закарпатская']
['Десантное', 'Одесская']
['Десна', 'Черниговская']
['Джулинка', 'Винницкая']
['Джурин', 'Винницкая']
['Дзвиняч', 'Ивано-Франковская']
['Дзыговка', 'Винницкая']
['Дибровск', 'Ровенская']
['Дивизия', 'Одесская']
['Дивное', 'Херсонская']
['Диканька', 'Полтавская']
['Димитров', 'Донецкая']
['Диновцы', 'Черновицкая']
['Дмитровка', 'Днепропетровская']
['Дмитровка', 'Киевская']
['Дмитровка', 'Кировоградская']
['Дмитровка', 'Одесская']
['Дмитровка', 'Полтавская']
['Дмухайловка', 'Днепропетровская']
['Днепр', 'Днепропетровская']
['Днепрорудное', 'Запорожская']
['Добровеличковка', 'Кировоградская']
['Доброгостов', 'Львовская']
['Добромиль', 'Львовская']
['Доброполье', 'Донецкая']
['Добросин', 'Львовская']
['Доброслав', 'Одесская']
['Добротвор', 'Львовская']
['Добротов', 'Ивано-Франковская']
['Добрянка', 'Кировоградская']
['Добрянка', 'Черниговская']
['Добрянское', 'Закарпатская']
['Добряны', 'Львовская']
['Довбыш', 'Житомирская']
['Довжок', 'Хмельницкая']
['Докучаевское (Коммунист)', 'Харьковская']
['Долгенькое', 'Харьковская']
['Долгое', 'Закарпатская']
['Долина', 'Ивано-Франковская']
['Долинская', 'Кировоградская']
['Доманевка', 'Николаевская']
['Домантово', 'Черкасская']
['Донец', 'Харьковская']
['Донцовка', 'Луганская']
['Дорогичевка', 'Тернопольская']
['Доросини', 'Волынская']
['Дослидницкое', 'Киевская']
['Драбиновка', 'Полтавская']
['Драбов', 'Черкасская']
['Драбово-Барятинское', 'Черкасская']
['Драгово', 'Закарпатская']
['Драчинцы', 'Черновицкая']
['Дрогобыч', 'Львовская']
['Дружба', 'Житомирская']
['Дружба', 'Сумская']
['Дружба', 'Тернопольская']
['Дружковка', 'Донецкая']
['Дружная', 'Киевская']
['Дубечно', 'Волынская']
['Дубище', 'Волынская']
['Дубляны', 'Львовская']
['Дубно', 'Ровенская']
['Дубовое', 'Закарпатская']
['Дубовцы', 'Черновицкая']
['Дубовязовка', 'Сумская']
['Дубровица', 'Ровенская']
['Дубровка', 'Житомирская']
['Дударков', 'Киевская']
['Дудчаны', 'Херсонская']
['Дулово', 'Закарпатская']
['Дунаев', 'Львовская']
['Дунаев', 'Тернопольская']
['Дунаевцы', 'Хмельницкая']
['Дымер', 'Киевская']
['Дюла', 'Закарпатская']
['Дядьковичи', 'Ровенская']
['Евсуг', 'Луганская']
['Езуполь', 'Ивано-Франковская']
['Еланец', 'Николаевская']
['Елизаветградка', 'Кировоградская']
['Елизаветовка', 'Донецкая']
['Елисеевка', 'Запорожская']
['Емильчино', 'Житомирская']
['Ерки', 'Черкасская']
['Жаботин', 'Черкасская']
['Жашков', 'Черкасская']
['Жванец', 'Хмельницкая']
['Жданы', 'Полтавская']
['Жежелев', 'Винницкая']
['Железный Порт', 'Херсонская']
['Желтые Воды', 'Днепропетровская']
['Женишковцы', 'Хмельницкая']
['Жердя', 'Хмельницкая']
['Жеребково', 'Одесская']
['Жидачев', 'Львовская']
['Житомир', 'Житомирская']
['Жмеринка', 'Винницкая']
['Жобрин', 'Ровенская']
['Жовква', 'Львовская']
['Жовтанцы', 'Львовская']
['Жукин', 'Киевская']
['Журавка', 'Черниговская']
['Журавлевка', 'Винницкая']
['Журавно', 'Львовская']
['Заболотов', 'Ивано-Франковская']
['Заболотье', 'Волынская']
['Завадовка', 'Львовская']
['Завалье', 'Кировоградская']
['Заводское', 'Полтавская']
['Заводское', 'Тернопольская']
['Загнитков', 'Одесская']
['Задаров', 'Тернопольская']
['Задубровцы', 'Ивано-Франковская']
['Зазимье', 'Киевская']
['Зайцево', 'Днепропетровская']
['Зайцево', 'Донецкая']
['Закотное', 'Луганская']
['Закупное', 'Хмельницкая']
['Залазье', 'Волынская']
['Залесцы', 'Тернопольская']
['Залещики', 'Тернопольская']
['Зализничное (Брагиновка)', 'Днепропетровская']
['Зализцы', 'Тернопольская']
['Залужье', 'Ровенская']
['Запорожье', 'Запорожская']
['Запытов', 'Львовская']
['Заречаны', 'Житомирская']
['Заречное', 'Ровенская']
['Заречное (Кировск)', 'Донецкая']
['Заречье', 'Закарпатская']
['Заря', 'Одесская']
['Заря', 'Ровенская']
['Заслучное', 'Хмельницкая']
['Заставна', 'Черновицкая']
['Затишье', 'Одесская']
['Затока', 'Одесская']
['Захаровка', 'Одесская']
['Зачепиловка', 'Харьковская']
['Заячковка', 'Черкасская']
['Збараж', 'Тернопольская']
['Зборов', 'Тернопольская']
['Звенигород', 'Львовская']
['Звенигородка', 'Черкасская']
['Згораны', 'Волынская']
['Згуровка', 'Киевская']
['Здолбица', 'Ровенская']
['Здолбунов', 'Ровенская']
['Зеленовка', 'Херсонская']
['Зеленогорское', 'Одесская']
['Зеленодольск', 'Днепропетровская']
['Зеленый Под (Червоный Перекоп)', 'Херсонская']
['Зеньков', 'Полтавская']
['Зимняя Вода', 'Львовская']
['Зиньков', 'Хмельницкая']
['Златоустовка', 'Донецкая']
['Злынка', 'Кировоградская']
['Змиев', 'Харьковская']
['Знаменка', 'Кировоградская']
['Знаменка', 'Одесская']
['Знаменка Вторая (Знаменка-Втор', 'Кировоградская']
['Знаменовка', 'Днепропетровская']
['Знобь-Новгородское', 'Сумская']
['Золотарево', 'Закарпатская']
['Золотая Балка', 'Херсонская']
['Золотники', 'Тернопольская']
['Золотое', 'Луганская']
['Золотой Поток', 'Тернопольская']
['Золотоноша', 'Черкасская']
['Золочев', 'Львовская']
['Золочев', 'Харьковская']
['Зубрец', 'Тернопольская']
['Зыбково', 'Кировоградская']
['Иваничи', 'Волынская']
['Иванков', 'Киевская']
['Иванковичи', 'Киевская']
['Иванковцы', 'Хмельницкая']
['Иванов', 'Винницкая']
['Ивановка', 'Днепропетровская']
['Ивановка', 'Киевская']
['Ивановка', 'Кировоградская']
['Ивановка', 'Одесская']
['Ивановка', 'Херсонская']
['Иванополь', 'Житомирская']
['Ивано-Франково', 'Львовская']
['Ивано-Франковск', 'Ивано-Франковская']
['Иваньки', 'Черкасская']
['Ивахны', 'Черкасская']
['Игнатполь', 'Житомирская']
['Иживцы', 'Черновицкая']
['Иза', 'Закарпатская']
['Изки', 'Закарпатская']
['Измаил', 'Одесская']
['Изюм', 'Харьковская']
['Изяслав', 'Хмельницкая']
['Илларионово', 'Днепропетровская']
['Ильинцы', 'Винницкая']
['Ильичевск (Черноморск)', 'Одесская']
['Ильница', 'Закарпатская']
['Имстичево', 'Закарпатская']
['Ирклиев', 'Черкасская']
['Ирпень', 'Киевская']
['Иршава', 'Закарпатская']
['Иршанск', 'Житомирская']
['Исковцы', 'Полтавская']
['Испас', 'Черновицкая']
['Ичня', 'Черниговская']
['Кагарлык', 'Киевская']
['Казанка', 'Николаевская']
['Казатин', 'Винницкая']
['Казацкое', 'Черкасская']
['Казачьи Лагеря', 'Херсонская']
['Казачья Лопань', 'Харьковская']
['Каиры', 'Херсонская']
['Каланчак', 'Херсонская']
['Калиновка', 'Винницкая']
['Калиновка', 'Киевская']
['Калиновское (Калининское)', 'Херсонская']
['Калины', 'Закарпатская']
['Калита', 'Киевская']
['Калуш', 'Ивано-Франковская']
['Калчева', 'Одесская']
['Кальник', 'Винницкая']
['Каменец-Подольский', 'Хмельницкая']
['Каменка', 'Николаевская']
['Каменка', 'Одесская']
['Каменка', 'Черкасская']
['Каменка-Бугская', 'Львовская']
['Каменка-Днепровская', 'Запорожская']
['Каменный Брод', 'Житомирская']
['Каменское', 'Днепропетровская']
['Каменское', 'Днепропетровская']
['Каменское', 'Закарпатская']
['Камень-Каширский', 'Волынская']
['Камышаны', 'Херсонская']
['Камышеватое', 'Кировоградская']
['Камышеваха', 'Запорожская']
['Камышеваха', 'Луганская']
['Камыш-Заря', 'Запорожская']
['Камыши', 'Сумская']
['Камышня', 'Полтавская']
['Камышовка', 'Одесская']
['Канев', 'Черкасская']
['Капитановка', 'Киевская']
['Капитановка', 'Кировоградская']
['Карапчов', 'Черновицкая']
['Карапыши', 'Киевская']
['Карловка', 'Полтавская']
['Карнауховка', 'Днепропетровская']
['Каролино-Бугаз', 'Одесская']
['Карпиловка', 'Ровенская']
['Карповцы', 'Житомирская']
['Катеринка', 'Николаевская']
['Катериновка', 'Харьковская']
['Катеринополь', 'Черкасская']
['Катюжанка', 'Киевская']
['Качкаровка', 'Херсонская']
['Каховка', 'Херсонская']
['Кашперовка', 'Киевская']
['Квасилов', 'Ровенская']
['Квасы', 'Закарпатская']
['Кегичевка', 'Харьковская']
['Кельменцы', 'Черновицкая']
['Керецки', 'Закарпатская']
['Кетрисановка', 'Кировоградская']
['Кибинцы', 'Полтавская']
['Киверцы', 'Волынская']
['Кидры', 'Ровенская']
['Киев', 'Киев и район']
['Киенка', 'Черниговская']
['Килия', 'Одесская']
['Кириковка', 'Сумская']
['Кирилловка', 'Запорожская']
['Кирнасовка', 'Винницкая']
['Кирнички', 'Одесская']
['Кирово', 'Донецкая']
['Кирьяковка', 'Николаевская']
['Киселев', 'Черновицкая']
['Киселевка', 'Николаевская']
['Киселевка', 'Херсонская']
['Кислица', 'Одесская']
['Китайгород', 'Хмельницкая']
['Кицмань', 'Черновицкая']
['Клавдиево-Тарасово', 'Киевская']
['Клебань', 'Винницкая']
['Клевань', 'Ровенская']
['Клепачи', 'Полтавская']
['Клесов', 'Ровенская']
['Клишковцы', 'Черновицкая']
['Клиновое', 'Хмельницкая']
['Клубовка', 'Хмельницкая']
['Клячаново', 'Закарпатская']
['Княжичи', 'Киевская']
['Княжполь', 'Хмельницкая']
['Князевское', 'Ивано-Франковская']
['Кобеляки', 'Полтавская']
['Коблево', 'Николаевская']
['Коболчин', 'Черновицкая']
['Ковалевка', 'Киевская']
['Ковалевка', 'Николаевская']
['Ковалевка', 'Полтавская']
['Ковель', 'Волынская']
['Ковшаровка', 'Харьковская']
['Ковшеватая (Кившеватая)', 'Киевская']
['Ковяги', 'Харьковская']
['Кодаки', 'Киевская']
['Кодыма', 'Одесская']
['Кожанка', 'Киевская']
['Кожуховка', 'Киевская']
['Козелец', 'Черниговская']
['Козельщина', 'Полтавская']
